epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1987.31,1.31785,1.07164,1.03267,0.5782,0.42681,0.45805,0.25176,1.2415,0.87518,1.03168,0.000256162,0.000256162,0.000256162
2,3903.3,1.25352,0.90408,1.0055,0.57315,0.47232,0.49809,0.28171,1.17189,0.82067,1.00228,0.00025881,0.00025881,0.00025881
